MOTIVO CHAMADO,NOME,CPF,SEXO,DATA NASCIMENTO,DATA ADMISSAO,NOME DA MAE,ESTADO CIVIL,PARENTESCO,ESTUDANTE,MATRICULA EMPRESA,CNPJ CLIENTE,CARTAO SUS,EMAIL,CEP,ENDERECO,NUMERO,COMPLEMENTO,BAIRRO,CIDADE,ESTADO,SALARIO,RG,CARGO,TELEFONE,CELULAR,DATA INICIO VIGENCIA,CODIGO PLANO,FIM VIGENCIA,PRAZO ESTAGIO/J APRENDIZ (MESES),C.CUSTO,DEPARTAMENTO,SETOR,TIPO EXTENSAO,INICIO PLANO EXTENSAO,FIM PLANO EXTENSAO,INICIO EXPEDIENTE,FIM EXPEDIENTE,PCD,CPF TITULAR,PLANO EXTENSAO,DESCRICAO,DATA ENTRELACE,CNPJ A TRANSFERIR,DEPENDENTE TITULAR,COD. OPERADORA
Exame Laboratorial,Marie Rios,475-08-3231,F,1991-04-15,2021-08-28,Erin Pineda,Casado(a),Cônjuge,Não,7036783,6193982311885773,1234567890123456,chad77@example.net,28342,39638 Bradley Burg Apt. 089,33803,Suite 671,Savassi,Lake Amanda,TX,1077.9140997542904,797250246,"Lighting technician, broadcasting/film/video",(862)855-7261,895.215.2764x68382,2003-09-02,8,2084-06-27,3,CCusto1,Vendas,Setor C,Tipo3,2022-12-20,2024-03-01,04:38:32,00:07:55,Não,308-42-6383,Plano B,Position central friend work local sit.,2021-06-21,705887026056809,Sim,Operadora3
Exame Laboratorial,Joe Galloway,085-46-1121,M,1914-08-24,2007-06-11,Jason Trujillo,Viúvo(a),Mãe,Sim,853796,426686453665901,9876543210987654,nicholas53@example.com,80708,1819 Solis Hills,6714,Apt. 445,Savassi,Michaelborough,CO,1724.3404502826756,1984838620,Rural practice surveyor,285-253-0509,001-240-513-9337x247,2018-10-20,7,2029-03-13,10,CCusto2,Vendas,Setor B,Tipo2,2020-12-18,2076-12-08,00:09:18,19:57:27,Não,267-97-9561,Plano A,Painting left right food.,2007-07-31,8309475482504265,Sim,Operadora1
Consulta Médica,Paul Alvarez,394-43-1316,M,2021-11-21,2004-02-06,Melissa Goodman,Solteiro(a),Mãe,Sim,2791917,3880371210460024,1234567890123456,ggeorge@example.org,87480,853 Hailey Road,861,Suite 200,Copacabana,North Holly,PW,1294.58729333343,1369730085,Office manager,+1-700-431-1291,362.932.2526x8796,2018-11-12,9,2046-09-06,9,CCusto2,Recursos Humanos,Setor A,Tipo3,2011-11-15,2029-11-07,05:32:43,00:57:17,Não,306-17-5314,Plano C,Message deal catch age expert hospital exist brother.,2012-03-14,1910873460875809,Sim,Operadora3
Exame Laboratorial,Amy Williams,164-14-8482,F,1974-01-16,2019-05-08,Vicki Lamb,Casado(a),Pai,Não,7055848,4830423098182971,9876543210987654,sanchezdonald@example.net,02232,47548 Davis Roads Suite 651,74987,Suite 501,Moinhos de Vento,West Nicole,MO,4512.39114794632,9864566936,Optometrist,(319)550-6398,001-828-840-9848x39073,2011-05-15,10,2031-06-11,8,CCusto3,Vendas,Setor B,Tipo3,2012-02-06,2076-05-18,03:44:59,15:09:35,Não,048-34-5280,Plano C,Woman news news there.,2016-05-14,2410807076602389,Não,Operadora1
Exame Laboratorial,Martin Bennett,602-13-9746,F,1932-05-10,2017-03-24,John Weber,Solteiro(a),Cônjuge,Sim,3867441,1055565765123837,9876543210987654,matthew24@example.org,65987,17572 Walker Walk Suite 636,733,Suite 341,Centro,Emilymouth,AK,1392.8039657843935,6230859317,Chartered legal executive (England and Wales),(369)453-3683x6001,+1-318-291-1575,2000-01-03,6,2054-11-15,12,CCusto3,Vendas,Setor C,Tipo2,2019-03-13,2030-09-20,04:27:03,09:19:58,Não,624-71-6652,Plano C,Husband movie real establish institution.,2015-03-03,5269350694724052,Sim,Operadora1
Consulta Médica,Amy Graham,347-98-9792,M,1954-10-03,2012-04-20,Philip Macdonald,Casado(a),Cônjuge,Não,4232444,6063446845715062,9876543210987654,xoconnor@example.net,78441,1433 Rhodes Gateway Suite 944,842,Suite 709,Moinhos de Vento,South Breannachester,CT,3446.042157212587,1433250037,Architect,+1-249-908-5840x08052,295.747.6989x101,2019-12-15,4,2052-10-06,5,CCusto1,Vendas,Setor A,Tipo1,2003-07-11,2082-01-22,14:41:58,08:45:47,Sim,801-60-1974,Plano C,Write inside run.,2010-02-11,806631447459021,Sim,Operadora2
Exame Laboratorial,Rachel White,820-17-9267,F,1920-05-20,2000-06-22,April Adams,Solteiro(a),Mãe,Sim,3751883,7065942556036268,1234567890123456,jeffreyphillips@example.com,37791,31358 Dennis Plaza Apt. 745,307,Suite 883,Moinhos de Vento,Thomasview,AL,2652.646311631269,1094626282,Geophysical data processor,+1-277-626-7564,5156494159,2002-03-20,1,2066-08-07,12,CCusto3,Vendas,Setor C,Tipo3,2019-10-21,2089-03-08,03:32:18,11:59:56,Não,121-53-0933,Plano A,Feeling word figure everybody budget none.,2011-07-29,5890340787657128,Sim,Operadora2
Exame Laboratorial,Andrew Schroeder,280-62-9515,M,1917-08-20,2010-06-14,Jessica Patton,Casado(a),Cônjuge,Não,3390806,5575254037104542,9876543210987654,garymckee@example.com,32526,953 Danielle Wall,57307,Apt. 622,Savassi,Ryanhaven,KS,2040.6873330847266,2878560287,Early years teacher,(447)691-9769x9115,+1-935-282-8994x1596,2008-07-04,5,2087-05-17,7,CCusto3,Vendas,Setor B,Tipo3,2017-09-27,2075-08-06,05:49:54,04:07:24,Não,777-49-7172,Plano A,Deal response stuff general environmental owner.,2018-06-01,1021839856333060,Sim,Operadora1
Exame Laboratorial,Carol Wilson,704-41-2605,M,1997-03-26,2001-08-05,Jesse Mcgrath,Viúvo(a),Filho(a),Sim,469332,1820544078312849,9876543210987654,matthewgreen@example.net,49663,27752 Little Canyon,66842,Apt. 832,Savassi,Hamptonview,GA,4939.674414106245,4602355185,Chief Strategy Officer,001-838-902-3327x176,(848)252-9036x34316,2000-12-21,1,2087-11-26,12,CCusto1,Financeiro,Setor B,Tipo2,2018-09-08,2089-02-25,10:26:36,18:16:18,Sim,608-15-6755,Plano B,Career sister along stage rest position must.,2019-04-30,964479461870166,Não,Operadora2
Exame Laboratorial,Bryan Nichols,701-67-2069,F,1943-08-16,2013-10-14,Brian Rodriguez,Viúvo(a),Filho(a),Não,7211161,5448661454914248,1234567890123456,ssmith@example.org,73548,107 Shaun Squares,5825,Apt. 673,Savassi,South Tanyamouth,MA,4539.642208774974,7561663819,Accommodation manager,+1-910-659-9680x1609,537-515-2992,2006-02-06,7,2050-09-03,11,CCusto1,Financeiro,Setor B,Tipo3,2011-04-16,2040-07-01,01:41:25,16:10:28,Não,762-84-9603,Plano A,Item drop television none always.,2016-07-05,9035572942039705,Não,Operadora2
Consulta Médica,Jacob Clayton,702-07-0346,F,1948-04-28,2012-11-21,Eric Mason,Casado(a),Mãe,Não,8024597,8598978331408349,9876543210987654,williammoore@example.org,23490,1764 Mcclure Ways Suite 345,874,Suite 948,Moinhos de Vento,Erinmouth,NJ,1116.764634530473,1616444770,Applications developer,363-362-6588x7560,851-612-4920,2021-05-03,4,2069-06-17,8,CCusto2,Recursos Humanos,Setor A,Tipo1,2006-12-28,2078-10-20,04:54:25,15:58:03,Não,035-71-4448,Plano A,Learn face foreign fall per.,2013-12-10,2128574213892765,Sim,Operadora3
Consulta Médica,Russell Jones,871-97-0521,F,1985-05-06,2014-03-07,Kyle Simmons,Casado(a),Pai,Sim,876436,980958248210590,1234567890123456,jason37@example.com,67494,314 Sloan Key,850,Apt. 034,Centro,South Christianside,UT,4317.356416839117,2963676923,Travel agency manager,511.709.7316,001-367-858-9671x6515,2014-08-23,6,2028-01-05,3,CCusto2,Financeiro,Setor B,Tipo3,2018-04-02,2060-04-23,22:55:09,15:53:12,Não,845-05-4328,Plano B,Letter add million me choice senior present.,2004-07-07,5131145266513400,Não,Operadora3
Exame Laboratorial,Kenneth Martinez,631-54-3025,M,1919-07-16,2000-12-06,Rodney Bryant,Solteiro(a),Filho(a),Não,7139290,7376506742386656,9876543210987654,davischristopher@example.net,39086,63963 Clifford Branch Apt. 571,6542,Apt. 378,Centro,Johnsonview,RI,2849.7515067015806,5229201337,"Scientist, forensic",+1-200-469-0860,001-819-905-1859,2009-01-01,5,2029-09-24,12,CCusto1,Financeiro,Setor A,Tipo1,2009-03-08,2086-03-05,13:19:10,04:16:29,Não,263-09-9542,Plano C,Then bit look chance company make fund.,2010-10-15,593942008044543,Sim,Operadora1
Consulta Médica,Michelle Henderson,427-89-8310,F,2015-02-26,2010-04-07,Alyssa Payne,Viúvo(a),Mãe,Sim,3945602,6088056759517168,9876543210987654,danielthomas@example.org,85759,88730 Brian Cliff Apt. 046,1840,Suite 214,Moinhos de Vento,North James,FM,4799.668952772779,949146066,"Surveyor, insurance",(913)962-8993x159,3916941840,2019-11-17,2,2044-02-24,8,CCusto3,Recursos Humanos,Setor A,Tipo2,2022-02-04,2073-01-03,21:40:54,09:16:33,Sim,132-71-8295,Plano A,Analysis production reveal measure learn only certainly hard.,2023-05-08,5652324336995828,Sim,Operadora3
Odontologia,Kimberly Knox,193-49-8079,F,1948-10-02,2021-10-15,Mark Williams,Viúvo(a),Filho(a),Sim,1196462,3882049337941172,1234567890123456,timothythomas@example.org,21609,667 Conrad Shoals Apt. 175,53074,Suite 236,Savassi,Sandrahaven,NM,3772.3981709044406,393293918,Freight forwarder,001-349-631-6123x55389,273.881.4965,2022-12-11,6,2051-08-12,8,CCusto3,Recursos Humanos,Setor A,Tipo2,2019-02-27,2050-09-10,10:12:42,07:00:50,Sim,801-39-3411,Plano A,So prepare involve toward head.,2007-07-05,6483650254178664,Não,Operadora3
Exame Laboratorial,Tammy Harris,117-83-6830,F,1914-11-26,2016-01-15,Joseph Leon,Solteiro(a),Cônjuge,Sim,5638094,6518834140658320,1234567890123456,jennifer40@example.net,96297,5250 Castillo Pass,34179,Suite 146,Savassi,Lake Richardmouth,MS,1048.2973415925292,1644786160,"Programmer, systems",(446)658-9909x09518,(835)692-2212x432,2012-10-05,8,2041-02-13,6,CCusto2,Vendas,Setor B,Tipo2,2005-11-06,2053-03-11,01:26:51,12:56:31,Sim,377-11-7475,Plano A,Form relationship president pressure rise character five race.,2022-10-03,331342961762766,Sim,Operadora2
Odontologia,Chris Jones,413-06-4808,M,1971-02-13,2012-05-14,Katherine Shea,Casado(a),Mãe,Sim,1862837,7900869229432642,1234567890123456,melissarice@example.org,57694,95496 Hampton Court Apt. 004,030,Apt. 622,Centro,Lake Jessica,MT,3356.697502722045,4297609008,Financial controller,(377)512-3477,(767)511-8280x97317,2006-01-28,5,2031-08-07,2,CCusto1,Vendas,Setor A,Tipo1,2014-10-26,2062-08-14,18:03:31,14:36:56,Sim,718-37-9868,Plano A,Design maintain institution its individual.,2010-01-13,5757222310031262,Sim,Operadora2
Exame Laboratorial,Dana Henry,380-05-0837,M,2004-06-07,2002-10-14,Rachel Brown,Viúvo(a),Pai,Sim,7531115,7075765564498446,1234567890123456,swashington@example.org,32662,07631 Taylor Inlet,6664,Suite 446,Moinhos de Vento,Amandaberg,AK,3275.9054755834713,645772842,Public relations officer,(572)256-2534x6768,+1-523-419-8641x21669,2014-08-31,6,2053-11-28,6,CCusto2,Recursos Humanos,Setor A,Tipo2,2017-07-17,2046-03-29,22:41:39,21:37:05,Sim,879-32-0174,Plano B,Rich skill natural prove.,2012-01-28,6576482727267875,Não,Operadora2
Odontologia,Stephen Ramos,406-08-1749,F,1936-03-04,2021-07-04,Kevin Tran,Casado(a),Cônjuge,Não,8473052,4396621824680397,9876543210987654,dhernandez@example.org,67762,83169 Anderson Ville Apt. 917,167,Suite 304,Savassi,Christinafurt,IL,3096.9795701162216,7880078817,Database administrator,473-374-4332x415,321-453-7121x82248,2017-11-04,1,2057-12-06,6,CCusto3,Recursos Humanos,Setor A,Tipo3,2018-01-19,2040-09-28,06:45:46,19:53:59,Sim,595-46-1324,Plano B,When perhaps movement huge him front him.,2015-10-03,559835948617448,Não,Operadora1
Consulta Médica,Ashley Mullins,037-89-7821,M,1960-09-28,2018-03-02,Ashley Larson,Viúvo(a),Pai,Não,7261170,1781718824738803,9876543210987654,mark13@example.net,36531,48012 Sydney Drives Suite 507,280,Apt. 299,Moinhos de Vento,South Steven,WY,1840.7152254876787,2892529148,"Engineer, materials",603-743-8428,+1-841-758-7486,2008-07-03,4,2073-06-10,5,CCusto3,Vendas,Setor B,Tipo3,2015-09-07,2043-09-04,17:37:14,04:37:36,Não,038-78-9134,Plano C,Appear happen Mrs thing loss.,2020-01-08,9103727824546475,Sim,Operadora1
Odontologia,Stanley Reid,489-41-4993,M,2018-02-06,2022-01-30,Tony Rivera,Viúvo(a),Pai,Não,4169343,9733307284793432,1234567890123456,jcole@example.net,98728,13840 Macdonald Parks Suite 913,20874,Suite 954,Moinhos de Vento,East Katherineborough,PA,2106.7622987910913,5266892028,Field seismologist,001-421-875-9038x4220,684-710-8908x99184,2001-07-26,8,2026-05-31,12,CCusto3,Vendas,Setor A,Tipo3,2019-12-11,2048-08-23,20:23:08,15:23:33,Não,583-13-6256,Plano B,Somebody wind woman skin interesting.,2021-04-05,639785716693791,Sim,Operadora1
Exame Laboratorial,Tiffany Brooks,286-75-7846,M,1955-06-15,2015-05-06,Mark Walker,Solteiro(a),Pai,Sim,4318517,2724250694696247,1234567890123456,halljenny@example.org,45366,869 Rich Wells,415,Apt. 242,Centro,Hancockchester,ME,3716.5811283136277,988147773,Associate Professor,712.984.1305x59583,333.975.8504x4681,2006-01-12,5,2071-06-24,7,CCusto1,Recursos Humanos,Setor C,Tipo2,2003-04-02,2096-06-22,06:08:59,16:21:45,Sim,004-81-0305,Plano B,Machine certain watch their.,2020-04-13,4299214829183768,Não,Operadora2
Exame Laboratorial,Jacob Perkins,126-62-6188,F,1998-01-14,2021-12-10,Maria Rodgers,Viúvo(a),Mãe,Não,4110689,1666383735756499,9876543210987654,conniealvarez@example.net,94843,198 Estrada Villages,05479,Suite 476,Savassi,Jennifermouth,VA,4080.046814452417,5167763369,Production engineer,6224626254,001-586-486-8751,2000-03-17,7,2046-09-29,10,CCusto3,Recursos Humanos,Setor A,Tipo3,2016-11-25,2044-06-08,22:51:24,03:21:05,Não,048-64-7984,Plano A,That hard deal move recognize little more.,2000-04-12,3616080209722545,Sim,Operadora2
Consulta Médica,Katie Silva,679-50-1265,M,2009-09-12,2004-09-08,Kathryn Nguyen,Solteiro(a),Filho(a),Sim,1637862,7744510892646800,9876543210987654,christina53@example.com,33790,201 Brandon Flats Apt. 288,05299,Apt. 683,Savassi,Lake Heatherfurt,MI,4628.382987625966,7945927776,Field trials officer,231.883.7203,561-682-3761x761,2021-11-27,10,2036-06-18,10,CCusto1,Financeiro,Setor B,Tipo1,2012-02-29,2096-01-14,13:59:01,15:24:44,Sim,266-53-6639,Plano B,Society free politics talk put.,2009-04-14,8283412827759152,Não,Operadora3
Consulta Médica,Jeremiah Mullins,095-99-6054,M,1959-12-12,2018-04-20,Jacob Acosta,Solteiro(a),Cônjuge,Sim,8595092,7397701689087910,1234567890123456,gonzalezamy@example.org,07141,844 Garrett Fork,7592,Suite 832,Savassi,New Jasonton,ND,3335.2795720484755,8368542332,Secondary school teacher,723-633-1665,001-341-479-6516x264,2006-01-22,6,2092-09-03,10,CCusto1,Financeiro,Setor A,Tipo2,2008-06-07,2096-09-11,07:24:30,04:08:20,Não,345-66-3573,Plano B,Eye after amount send skin draw.,2018-10-01,808417538529180,Não,Operadora3
Odontologia,Allison Grant,889-26-9376,F,2017-12-27,2017-07-05,Lori Maldonado,Solteiro(a),Mãe,Sim,1962677,776999562585949,1234567890123456,sarahmarshall@example.org,28654,39786 Eric Pike,52378,Apt. 811,Centro,Nicholasshire,AS,3369.846178732316,7694766006,Psychiatrist,+1-495-884-1321x6477,+1-695-804-5025,2003-05-14,1,2032-12-31,6,CCusto2,Recursos Humanos,Setor B,Tipo3,2023-08-04,2081-04-22,01:57:12,19:03:10,Não,770-61-0387,Plano C,Likely before today.,2008-02-09,2583261819107628,Sim,Operadora3
Exame Laboratorial,Brooke Ramirez,499-42-0827,M,1960-10-14,2018-12-03,Kelly Holmes,Viúvo(a),Mãe,Não,2689576,919945421893280,9876543210987654,joshuahill@example.com,38337,9214 Heather Union Apt. 048,1914,Suite 318,Savassi,Hernandezview,WY,1840.4464831740993,2974694732,"Geologist, engineering",260.609.2848x64574,+1-546-264-0652x2797,2021-05-26,9,2079-02-12,6,CCusto1,Vendas,Setor C,Tipo3,2000-07-19,2079-12-22,01:59:42,22:52:11,Não,154-38-0383,Plano A,Collection note mouth relate interview.,2007-10-12,9062903703094422,Não,Operadora2
Consulta Médica,Jason Flynn,379-31-3676,F,1922-06-13,2012-09-11,Cory Harris,Casado(a),Filho(a),Sim,1624430,1309531019349736,9876543210987654,riverarhonda@example.com,88597,0859 Munoz Trail,1937,Suite 584,Moinhos de Vento,New Jennifer,MS,1182.789295559307,3949257806,Control and instrumentation engineer,+1-973-615-8946,+1-434-531-6101x3281,2008-05-09,8,2025-12-06,5,CCusto2,Recursos Humanos,Setor A,Tipo3,2022-08-11,2035-12-15,13:47:14,23:39:05,Não,752-09-3302,Plano B,Over whatever model only scene western while.,2020-11-08,8079400205783156,Sim,Operadora2
Consulta Médica,Reginald Sullivan,688-91-0898,F,1979-04-24,2008-10-01,Kimberly Lewis,Solteiro(a),Filho(a),Sim,7385584,2605705900991254,1234567890123456,vreyes@example.com,22059,794 Erik Center,0593,Apt. 161,Centro,Craigville,GU,1890.8039979609553,3832868087,Minerals surveyor,+1-499-868-3519,001-399-378-0159,2013-09-02,7,2081-01-04,12,CCusto2,Recursos Humanos,Setor A,Tipo1,2006-05-05,2024-08-19,22:53:47,00:13:26,Não,410-97-3556,Plano A,Lot young where should discussion maybe parent.,2012-02-06,7673507770347642,Não,Operadora2
Odontologia,Susan Hale,392-34-5970,M,1939-03-08,2010-06-07,Corey Phillips,Viúvo(a),Pai,Não,2182494,4099727451294126,9876543210987654,xrodriguez@example.com,65801,7586 Kim Via,3608,Apt. 125,Savassi,Lake Michaelport,SC,4865.368542023285,5440767760,Air broker,+1-929-438-3435x59117,(453)358-0957x1901,2020-10-17,2,2093-10-08,3,CCusto1,Recursos Humanos,Setor B,Tipo2,2021-05-02,2046-11-15,09:42:34,06:26:57,Sim,746-34-9752,Plano A,Writer trade look mouth.,2011-09-23,750751376229483,Não,Operadora1
Exame Laboratorial,Dylan Christian,531-97-8822,F,1916-12-24,2019-02-12,Kendra Torres,Casado(a),Pai,Não,7066779,1842282982783378,1234567890123456,fdawson@example.net,77679,184 Jessica Cove Suite 173,0290,Suite 659,Copacabana,Rodriguezport,WA,4980.146929193499,4801053080,Public house manager,001-717-201-0990,+1-204-586-9235,2009-10-18,8,2096-04-02,6,CCusto2,Recursos Humanos,Setor C,Tipo3,2018-11-19,2086-01-22,19:10:20,21:52:46,Sim,512-24-7800,Plano C,Total official meet woman full step.,2005-01-25,5968615403774997,Não,Operadora3
Exame Laboratorial,Mary Thompson,243-31-5904,M,2010-11-01,2010-07-11,Phillip Smith,Viúvo(a),Mãe,Sim,6611954,3211450004211209,9876543210987654,casey92@example.com,39258,261 Michael Mountain Apt. 889,853,Apt. 972,Savassi,Zimmermanberg,MI,3199.9363874128617,3751350391,"Development worker, international aid",+1-420-715-5395x451,531-220-6240,2018-11-15,10,2046-04-07,3,CCusto3,Recursos Humanos,Setor C,Tipo3,2019-10-07,2050-10-15,12:02:45,02:12:12,Sim,577-14-5581,Plano A,Easy study cause professional staff agent adult response.,2015-01-28,9144660658867918,Sim,Operadora2
Odontologia,Randy Garrett,610-25-7056,F,1978-07-19,2012-10-03,Ryan Reed,Casado(a),Pai,Sim,1959106,9968344277109623,1234567890123456,longjessica@example.org,41265,10485 Weiss Overpass,8294,Suite 466,Copacabana,Alyssahaven,NE,3747.8879014617396,8375416644,"Scientist, physiological",001-737-902-3384,(842)379-3113x433,2004-12-29,6,2082-08-05,12,CCusto1,Financeiro,Setor C,Tipo3,2009-10-23,2045-11-23,03:15:01,04:21:30,Sim,005-32-0433,Plano A,Effort process foot challenge reveal lay give.,2001-03-09,2995754344705332,Não,Operadora3
Exame Laboratorial,Jennifer Johnston,450-28-0361,M,1962-09-26,2005-05-19,Kathryn Lynn,Casado(a),Pai,Não,9335920,3696119171332906,1234567890123456,laurenpatterson@example.org,78960,445 Vanessa View,52294,Apt. 527,Copacabana,North Latashaborough,LA,3037.3012123064937,1599440053,Cytogeneticist,+1-218-857-0843x486,666-220-0621,2022-12-29,8,2069-12-12,6,CCusto2,Vendas,Setor C,Tipo2,2016-03-05,2064-04-01,12:00:59,19:20:32,Sim,779-33-2995,Plano C,Page camera ten serve trip picture because.,2006-01-30,9827730996547996,Sim,Operadora2
Exame Laboratorial,Alicia Frederick,298-59-0392,F,1956-07-08,2020-12-06,Angela Browning,Casado(a),Cônjuge,Não,9618524,3074309407311288,1234567890123456,williamgarcia@example.net,64208,251 Zachary Locks,184,Apt. 574,Centro,South Joshuaport,PA,2870.888045368364,5304287094,Art therapist,641.429.9013x7731,+1-735-584-5394x197,2002-04-09,5,2088-06-23,9,CCusto1,Vendas,Setor B,Tipo2,2011-02-14,2063-01-07,12:44:38,17:43:24,Não,557-75-9684,Plano B,Score actually no same.,2018-06-16,3281597789073506,Não,Operadora2
Consulta Médica,Jennifer Russo,387-40-0171,F,1938-12-31,2015-03-22,Whitney Christian,Casado(a),Pai,Sim,875180,7819035230530568,1234567890123456,scott27@example.net,57911,1852 William Wall,1556,Suite 953,Copacabana,Shahstad,TX,3714.4830693045933,4385843713,Operations geologist,+1-342-812-4266x2163,690.718.3830x7834,2005-05-18,8,2082-04-18,4,CCusto3,Recursos Humanos,Setor C,Tipo3,2013-03-22,2082-05-01,02:17:20,00:44:23,Sim,127-73-8613,Plano B,Find side relationship rest son treat save.,2002-12-11,5522375283480136,Sim,Operadora1
Odontologia,Johnathan Francis,273-96-0829,M,1975-12-16,2021-08-04,Stacy Edwards,Viúvo(a),Filho(a),Não,1485980,9281930256415871,9876543210987654,goodcatherine@example.com,63238,81469 Howell Mews Suite 561,9347,Apt. 832,Centro,Jonathanmouth,OK,1597.5294596543267,8914356071,Curator,001-955-762-3555x397,+1-276-460-9863x6281,2016-09-13,4,2068-05-02,6,CCusto3,Vendas,Setor A,Tipo1,2022-09-17,2088-03-27,23:15:34,10:19:08,Não,127-22-5319,Plano A,Sometimes go way benefit somebody cut contain.,2017-07-31,7505772884146699,Sim,Operadora1
Exame Laboratorial,Stacey Bailey,269-81-3476,F,1970-08-09,2006-12-24,Christine Harvey,Casado(a),Filho(a),Não,4722849,8375289929449990,1234567890123456,eharper@example.net,65559,75510 Jeffrey Squares,137,Apt. 494,Centro,Lake Karen,SD,3670.8149594481742,394018015,Water quality scientist,(901)323-0088,(457)545-5317x604,2002-04-11,5,2096-11-12,12,CCusto3,Recursos Humanos,Setor B,Tipo1,2000-02-13,2034-01-29,21:17:42,18:57:03,Sim,006-42-5810,Plano C,In could long hope identify him event.,2020-12-07,6641579379160155,Não,Operadora3
Consulta Médica,Terrance Moore,790-65-2104,F,2023-09-13,2002-03-19,James Williams,Casado(a),Mãe,Sim,3251293,4330466405576112,1234567890123456,tfrazier@example.net,01863,989 Ann Knoll Suite 899,33016,Apt. 487,Centro,Mitchellberg,WA,4366.511859022623,2899514049,Animal technologist,001-837-422-0076x722,3294259101,2005-02-07,4,2039-07-17,7,CCusto1,Financeiro,Setor B,Tipo2,2017-04-08,2054-08-02,17:01:06,12:27:28,Sim,228-02-3096,Plano A,His skill style.,2016-01-12,3584002504354528,Não,Operadora3
Consulta Médica,Jason Rasmussen,691-14-6628,M,1971-10-19,2000-01-11,Ernest Ward,Casado(a),Cônjuge,Não,8701525,5596404144481283,1234567890123456,laura52@example.net,61843,353 Richardson Mews Suite 279,92458,Apt. 139,Savassi,Bellberg,VI,1071.4717240182345,2072955682,Advice worker,917.473.5771x34460,(893)233-7604x38289,2015-05-06,10,2083-12-12,1,CCusto2,Vendas,Setor B,Tipo2,2005-10-11,2024-05-08,18:40:34,08:09:12,Não,582-98-6358,Plano A,Practice son team shake treatment stop edge.,2005-06-08,2270665368708420,Não,Operadora3
Consulta Médica,Tamara Ortega,073-20-3147,F,2003-08-24,2016-11-08,Ashley Perez,Viúvo(a),Pai,Sim,9653803,6214418370609228,9876543210987654,xferguson@example.com,53901,4512 Eaton Trail Suite 739,086,Apt. 317,Savassi,South Amyport,PW,1843.9983287482833,2451095216,Theatre director,(959)523-5160x62469,730-858-9430,2005-08-27,3,2036-10-18,11,CCusto3,Recursos Humanos,Setor A,Tipo1,2006-04-18,2028-10-07,08:38:57,17:56:30,Não,585-30-0451,Plano C,Down fill tell change letter your others property.,2012-10-28,6569169884307867,Sim,Operadora1
Odontologia,Alexis Hardin,145-70-2715,F,1960-06-07,2013-06-22,Alexandria Bolton,Viúvo(a),Mãe,Não,695885,1512841772125027,1234567890123456,rebekahduran@example.com,34339,915 Johnathan Bypass,35059,Apt. 251,Savassi,Randyfort,NV,2238.5605854964397,6689433126,"Runner, broadcasting/film/video",(816)700-7007,+1-531-239-5214x3513,2001-04-01,10,2085-12-14,2,CCusto2,Vendas,Setor A,Tipo2,2022-01-21,2038-08-08,15:47:52,01:27:59,Não,168-36-7084,Plano B,Computer foreign kid window.,2017-04-12,5724828698285606,Sim,Operadora2
Exame Laboratorial,Erika Dillon,550-50-6547,F,1980-01-20,2013-09-15,Laurie Howell,Solteiro(a),Cônjuge,Não,1413959,8276907181775408,1234567890123456,jessicapark@example.com,74554,4956 Holmes Meadow,0756,Suite 801,Savassi,West Kennethberg,MN,2578.338548832574,7350243109,Forest/woodland manager,346.541.3038x35692,(477)684-2905x6147,2021-08-27,1,2074-02-18,10,CCusto1,Recursos Humanos,Setor C,Tipo1,2022-01-31,2090-04-08,10:05:30,14:52:55,Não,205-05-1577,Plano C,Mouth knowledge modern cut size.,2014-12-09,7864118738280156,Não,Operadora2
Consulta Médica,Jason Thomas,638-09-2350,F,1954-06-24,2000-12-15,Kimberly Rodriguez,Viúvo(a),Mãe,Não,4376670,4227700297405090,1234567890123456,brownanthony@example.net,75876,932 Michael Lane,875,Apt. 893,Centro,North Peterside,MH,3426.123413475581,6146133241,Pharmacologist,001-336-784-9242,403-741-6270,2009-06-28,3,2073-01-09,6,CCusto3,Financeiro,Setor B,Tipo2,2004-04-01,2053-04-29,10:52:37,20:12:07,Sim,800-35-9381,Plano C,Protect individual month himself artist eat.,2009-12-17,6926802197201598,Sim,Operadora1
Exame Laboratorial,Patricia Ortiz,755-97-9810,M,1980-07-02,2013-11-01,Lori Marshall,Casado(a),Cônjuge,Sim,6048725,2971818083943453,9876543210987654,ywilliams@example.org,44430,04453 Wilson Viaduct,373,Suite 206,Moinhos de Vento,Wilkinsberg,KY,3011.3336091346264,8525474933,Phytotherapist,+1-425-632-1105x675,428.860.5328x21823,2012-02-09,9,2037-11-05,4,CCusto2,Vendas,Setor C,Tipo3,2005-11-16,2081-01-17,04:10:34,12:43:42,Sim,693-51-0149,Plano A,Language industry west character become.,2012-01-01,7526025231127772,Não,Operadora3
Consulta Médica,Felicia Dunn,235-56-5751,F,2008-02-09,2020-08-20,Tracey Beck,Solteiro(a),Pai,Sim,5372089,6416297135495936,9876543210987654,whall@example.net,07971,6003 Cabrera Junction Apt. 129,039,Suite 956,Savassi,Tylermouth,AZ,1575.2238107608414,5926940524,"Psychologist, counselling",596-937-1298x74713,229-830-3634x40003,2008-02-01,5,2097-01-23,6,CCusto3,Vendas,Setor A,Tipo2,2020-08-24,2070-08-17,21:57:53,01:42:07,Não,298-60-4443,Plano B,Truth certainly any natural station trouble.,2014-01-12,9926376214046161,Sim,Operadora1
